Depth	Density	sigma_D	sigma_o18	sigma_o17
277.00	915.247	0.051615	0.057570	0.058318
277.50	915.268	0.051614	0.057569	0.058317
278.00	915.287	0.051613	0.057568	0.058316
278.50	915.307	0.051612	0.057566	0.058314
279.00	915.327	0.051611	0.057565	0.058313
279.50	915.346	0.051610	0.057564	0.058312
280.00	915.365	0.051609	0.057563	0.058311
280.50	915.383	0.051608	0.057562	0.058309
281.00	915.402	0.051607	0.057560	0.058308
281.50	915.420	0.051606	0.057559	0.058307
282.00	915.438	0.051605	0.057558	0.058306
282.50	915.456	0.051604	0.057557	0.058305
283.00	915.474	0.051603	0.057556	0.058304
283.50	915.492	0.051602	0.057555	0.058303
284.00	915.509	0.051601	0.057554	0.058301
284.50	915.526	0.051600	0.057553	0.058300
285.00	915.543	0.051599	0.057552	0.058299
285.50	915.560	0.051598	0.057550	0.058298
286.00	915.576	0.051597	0.057549	0.058297
286.50	915.593	0.051596	0.057548	0.058296
287.00	915.609	0.051595	0.057547	0.058295
287.50	915.625	0.051594	0.057546	0.058294
288.00	915.640	0.051593	0.057545	0.058293
288.50	915.656	0.051592	0.057544	0.058292
289.00	915.671	0.051591	0.057543	0.058291
289.50	915.687	0.051591	0.057543	0.058290
290.00	915.702	0.051590	0.057542	0.058289
290.50	915.717	0.051589	0.057541	0.058288
291.00	915.731	0.051588	0.057540	0.058287
291.50	915.746	0.051587	0.057539	0.058286
292.00	915.760	0.051586	0.057538	0.058285
292.50	915.775	0.051586	0.057537	0.058285
293.00	915.789	0.051585	0.057536	0.058284
293.50	915.803	0.051584	0.057535	0.058283
294.00	915.816	0.051583	0.057534	0.058282
294.50	915.830	0.051583	0.057534	0.058281
295.00	915.843	0.051582	0.057533	0.058280
295.50	915.857	0.051581	0.057532	0.058279
296.00	915.870	0.051580	0.057531	0.058278
296.50	915.883	0.051580	0.057530	0.058278
297.00	915.896	0.051579	0.057529	0.058277
297.50	915.908	0.051578	0.057529	0.058276
298.00	915.921	0.051577	0.057528	0.058275
298.50	915.933	0.051577	0.057527	0.058274
299.00	915.945	0.051576	0.057526	0.058274
299.50	915.958	0.051575	0.057525	0.058273
